time_utc,open,high,low,close,tick_volume,spread
2025-04-23 21:00:00+00:00,1.1329500000000001,1.13301,1.13216,1.13287,1097,0
2025-04-23 21:15:00+00:00,1.13287,1.13297,1.13185,1.1319,1047,0
2025-04-23 21:30:00+00:00,1.13189,1.13228,1.13154,1.13166,814,0
2025-04-23 21:45:00+00:00,1.13166,1.13259,1.13166,1.13238,727,0
2025-04-23 22:00:00+00:00,1.13238,1.13292,1.13183,1.1326100000000001,752,0
2025-04-23 22:15:00+00:00,1.1326100000000001,1.13319,1.13242,1.13311,750,0
2025-04-23 22:30:00+00:00,1.13312,1.13313,1.13197,1.13251,960,0
2025-04-23 22:45:00+00:00,1.13251,1.1328,1.13226,1.13274,752,0
2025-04-23 23:00:00+00:00,1.13274,1.13284,1.13215,1.13232,555,0
2025-04-23 23:15:00+00:00,1.13231,1.1323400000000001,1.13105,1.13121,576,0
2025-04-23 23:30:00+00:00,1.13121,1.13155,1.1311,1.13134,349,0
2025-04-23 23:45:00+00:00,1.13134,1.13155,1.13118,1.13145,445,0
2025-04-24 00:00:00+00:00,1.13114,1.13164,1.13095,1.13158,53,83
2025-04-24 00:15:00+00:00,1.13157,1.13164,1.13151,1.13155,23,33
2025-04-24 00:30:00+00:00,1.13155,1.13157,1.13122,1.13151,82,29
2025-04-24 00:45:00+00:00,1.13151,1.13213,1.13133,1.13178,127,34
2025-04-24 01:00:00+00:00,1.13178,1.13473,1.13178,1.13373,509,0
2025-04-24 01:15:00+00:00,1.13373,1.13445,1.13337,1.13392,318,0
2025-04-24 01:30:00+00:00,1.13392,1.13422,1.1333,1.13389,382,0
2025-04-24 01:45:00+00:00,1.13389,1.13391,1.1332200000000001,1.1332200000000001,223,0
2025-04-24 02:00:00+00:00,1.1332200000000001,1.13384,1.13309,1.13329,570,0
2025-04-24 02:15:00+00:00,1.13329,1.13355,1.13274,1.13299,606,0
2025-04-24 02:30:00+00:00,1.13299,1.13341,1.13284,1.13338,659,0
2025-04-24 02:45:00+00:00,1.13338,1.1335600000000001,1.13262,1.13294,677,0
2025-04-24 03:00:00+00:00,1.1329500000000001,1.1329799999999999,1.13216,1.13283,1055,0
2025-04-24 03:15:00+00:00,1.13283,1.13412,1.13235,1.13395,824,0
2025-04-24 03:30:00+00:00,1.13395,1.13401,1.13302,1.1332200000000001,1085,0
2025-04-24 03:45:00+00:00,1.1332200000000001,1.13467,1.13302,1.13437,1294,0
2025-04-24 04:00:00+00:00,1.13437,1.13491,1.134,1.13451,1356,0
2025-04-24 04:15:00+00:00,1.13451,1.1356600000000001,1.13422,1.1355,1146,0
2025-04-24 04:30:00+00:00,1.1355,1.13562,1.13475,1.1353,1572,0
2025-04-24 04:45:00+00:00,1.13531,1.1357599999999999,1.13492,1.13497,1193,0
2025-04-24 05:00:00+00:00,1.13497,1.13572,1.13468,1.1354899999999999,924,0
2025-04-24 05:15:00+00:00,1.1354899999999999,1.13553,1.13463,1.13528,832,0
2025-04-24 05:30:00+00:00,1.13528,1.13542,1.13482,1.13512,929,0
2025-04-24 05:45:00+00:00,1.13512,1.1356600000000001,1.13497,1.13552,676,0
2025-04-24 06:00:00+00:00,1.13552,1.13561,1.13438,1.13447,551,0
2025-04-24 06:15:00+00:00,1.13447,1.13461,1.1341700000000001,1.13445,380,0
2025-04-24 06:30:00+00:00,1.13445,1.13461,1.13377,1.13389,481,0
2025-04-24 06:45:00+00:00,1.13389,1.13431,1.13366,1.13382,554,0
2025-04-24 07:00:00+00:00,1.13382,1.13423,1.13326,1.1339299999999999,480,0
2025-04-24 07:15:00+00:00,1.1339299999999999,1.13411,1.13369,1.1338,530,0
2025-04-24 07:30:00+00:00,1.1338,1.13399,1.13324,1.13346,396,0
2025-04-24 07:45:00+00:00,1.13346,1.13413,1.13334,1.13392,484,0
2025-04-24 08:00:00+00:00,1.13392,1.13411,1.13342,1.1335,626,0
2025-04-24 08:15:00+00:00,1.1335,1.13436,1.13337,1.13416,606,0
2025-04-24 08:30:00+00:00,1.13413,1.13457,1.13308,1.13343,951,0
2025-04-24 08:45:00+00:00,1.13343,1.13412,1.13338,1.13364,962,0
2025-04-24 09:00:00+00:00,1.13364,1.13506,1.1336,1.1349,1157,0
2025-04-24 09:15:00+00:00,1.1349,1.13521,1.13472,1.13479,898,0
2025-04-24 09:30:00+00:00,1.1348,1.13544,1.13465,1.13513,1023,0
2025-04-24 09:45:00+00:00,1.13513,1.13542,1.13475,1.13523,889,0
2025-04-24 10:00:00+00:00,1.13523,1.13652,1.13517,1.13648,1608,0
2025-04-24 10:15:00+00:00,1.13648,1.13747,1.13624,1.1373199999999999,1153,0
2025-04-24 10:30:00+00:00,1.13733,1.13775,1.13708,1.13727,978,0
2025-04-24 10:45:00+00:00,1.13727,1.13805,1.13721,1.13799,1027,0
2025-04-24 11:00:00+00:00,1.138,1.1393,1.13796,1.13828,1418,0
2025-04-24 11:15:00+00:00,1.13828,1.13842,1.13751,1.13772,927,0
2025-04-24 11:30:00+00:00,1.13772,1.13848,1.13631,1.13746,1576,0
2025-04-24 11:45:00+00:00,1.13746,1.13826,1.13708,1.13806,1135,0
2025-04-24 12:00:00+00:00,1.13806,1.13912,1.13787,1.13838,1001,0
2025-04-24 12:15:00+00:00,1.13836,1.13891,1.13806,1.13838,865,0
2025-04-24 12:30:00+00:00,1.13838,1.1384400000000001,1.13751,1.13778,827,0
2025-04-24 12:45:00+00:00,1.13778,1.13877,1.13754,1.13845,909,0
2025-04-24 13:00:00+00:00,1.13845,1.13947,1.13794,1.13911,868,0
2025-04-24 13:15:00+00:00,1.13911,1.1393,1.13868,1.13876,776,0
2025-04-24 13:30:00+00:00,1.13876,1.1391499999999999,1.13811,1.13825,664,0
2025-04-24 13:45:00+00:00,1.13825,1.13897,1.13762,1.13794,923,0
2025-04-24 14:00:00+00:00,1.13794,1.13884,1.13786,1.13876,989,0
2025-04-24 14:15:00+00:00,1.13875,1.13903,1.13851,1.13883,766,0
2025-04-24 14:30:00+00:00,1.13883,1.13887,1.13761,1.13813,1090,0
2025-04-24 14:45:00+00:00,1.13813,1.13858,1.13686,1.13729,1244,0
2025-04-24 15:00:00+00:00,1.13729,1.13788,1.13696,1.13705,1213,0
2025-04-24 15:15:00+00:00,1.13705,1.13709,1.13614,1.13658,1131,0
2025-04-24 15:30:00+00:00,1.13658,1.13711,1.1358,1.13677,1459,0
2025-04-24 15:45:00+00:00,1.13677,1.13784,1.13667,1.13767,1397,0
2025-04-24 16:00:00+00:00,1.13767,1.1384,1.13752,1.13778,1212,0
2025-04-24 16:15:00+00:00,1.13778,1.13798,1.13695,1.13741,1171,0
2025-04-24 16:30:00+00:00,1.13741,1.138,1.1369799999999999,1.13731,1467,0
2025-04-24 16:45:00+00:00,1.1373199999999999,1.13779,1.13635,1.13761,1213,0
2025-04-24 17:00:00+00:00,1.13762,1.13871,1.1371,1.13816,1563,0
2025-04-24 17:15:00+00:00,1.13816,1.1385399999999999,1.13743,1.1381000000000001,1248,0
2025-04-24 17:30:00+00:00,1.1381000000000001,1.13856,1.13765,1.13841,1289,0
2025-04-24 17:45:00+00:00,1.13841,1.13874,1.13632,1.13727,1826,0
2025-04-24 18:00:00+00:00,1.13727,1.1375899999999999,1.13635,1.13676,1223,0
2025-04-24 18:15:00+00:00,1.13676,1.13701,1.13509,1.1358,1483,0
2025-04-24 18:30:00+00:00,1.13581,1.13636,1.13475,1.13511,1077,0
2025-04-24 18:45:00+00:00,1.13511,1.13634,1.13498,1.13609,1135,0
2025-04-24 19:00:00+00:00,1.13609,1.13686,1.13577,1.13666,1093,0
2025-04-24 19:15:00+00:00,1.13665,1.13724,1.13619,1.13692,907,0
2025-04-24 19:30:00+00:00,1.13692,1.13761,1.13613,1.13748,758,0
2025-04-24 19:45:00+00:00,1.13748,1.13807,1.13714,1.13801,898,0
2025-04-24 20:00:00+00:00,1.13801,1.13856,1.13728,1.1374,721,0
2025-04-24 20:15:00+00:00,1.1374,1.1374,1.13697,1.13735,659,0
2025-04-24 20:30:00+00:00,1.13735,1.13761,1.13674,1.13701,617,0
2025-04-24 20:45:00+00:00,1.13702,1.13746,1.1368,1.13692,569,0
2025-04-24 21:00:00+00:00,1.13692,1.1373,1.13653,1.13713,679,0
2025-04-24 21:15:00+00:00,1.13713,1.13725,1.13638,1.1365,566,0
2025-04-24 21:30:00+00:00,1.1365,1.13737,1.13645,1.13736,484,0
